Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,EnvironmentVariables,Toolchain,IsBaseline,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,IterCount,NodeCount,Mean,Error,StdDev,Median,Gen 0,Gen 1,Allocated
Uncached,NetCoreApp21,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,Default,2,Default,15,16,10,1,2,33.71 us,0.3934 us,0.5643 us,33.63 us,13.4888,-,62.28 KB
Cached,NetCoreApp21,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,Default,2,Default,15,16,10,1,2,15.49 us,0.2021 us,0.2899 us,15.39 us,5.7373,-,26.52 KB
Uncached,NetCoreApp21,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,Default,2,Default,15,16,10,1,100,491.70 us,4.0579 us,5.6886 us,490.65 us,203.1250,-,938.16 KB
Cached,NetCoreApp21,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,Default,2,Default,15,16,10,1,100,36.97 us,0.3129 us,0.4487 us,36.87 us,14.3433,-,66.33 KB
Uncached,NetCoreApp21,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,Default,2,Default,15,16,10,1,1000,"5,227.45 us",57.0294 us,83.5930 us,"5,206.40 us",1945.3125,7.8125,8981.91 KB
Cached,NetCoreApp21,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,Default,2,Default,15,16,10,1,1000,259.87 us,4.8969 us,7.1778 us,258.08 us,93.2617,1.9531,431.95 KB
Uncached,NetCoreApp21,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,Default,2,Default,15,16,10,15,2,261.91 us,1.5081 us,2.1142 us,261.81 us,107.9102,-,497.7 KB
Cached,NetCoreApp21,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,Default,2,Default,15,16,10,15,2,114.61 us,0.7695 us,1.1035 us,114.50 us,42.7246,-,197.03 KB
Uncached,NetCoreApp21,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,Default,2,Default,15,16,10,15,100,"4,311.67 us",28.6670 us,41.1134 us,"4,322.30 us",1625.0000,-,7504.7 KB
Cached,NetCoreApp21,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,Default,2,Default,15,16,10,15,100,136.35 us,1.2681 us,1.8588 us,135.80 us,51.2695,-,236.84 KB
Uncached,NetCoreApp21,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,Default,2,Default,15,16,10,15,1000,"41,217.42 us",243.2165 us,340.9555 us,"41,138.47 us",15562.5000,62.5000,71854.7 KB
Cached,NetCoreApp21,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,Default,2,Default,15,16,10,15,1000,353.51 us,2.5183 us,3.7692 us,352.49 us,130.3711,-,602.47 KB
Uncached,NetCoreApp21,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,Default,2,Default,15,16,10,25,2,421.96 us,0.8855 us,1.0875 us,421.99 us,175.2930,-,808.72 KB
Cached,NetCoreApp21,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,Default,2,Default,15,16,10,25,2,185.79 us,1.1585 us,1.6981 us,185.61 us,69.0918,-,318.83 KB
Uncached,NetCoreApp21,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,Default,2,Default,15,16,10,25,100,"6,784.07 us",45.5858 us,66.8190 us,"6,768.20 us",2640.6250,-,12195.09 KB
Cached,NetCoreApp21,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,Default,2,Default,15,16,10,25,100,206.27 us,0.7544 us,1.0575 us,206.23 us,77.6367,-,358.64 KB
Uncached,NetCoreApp21,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,Default,2,Default,15,16,10,25,1000,"69,387.11 us","2,011.7221 us","2,753.6679 us","67,828.26 us",25312.5000,62.5000,116763.84 KB
Cached,NetCoreApp21,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,Default,2,Default,15,16,10,25,1000,420.76 us,5.2321 us,7.8311 us,418.23 us,156.7383,0.4883,724.27 KB
